idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
205,10.3,-4.242640687119285,4.242640687119286,-3,-2.66572976289502,-2.6657297628950194,0,1.674927407913331,-1.6749274079133312,0,0,70,0,0,0
206,10.35,-4.373811764528468,4.107282635572133,-3,-2.5806817908260675,-2.7481469815254487,0,1.726711673629063,-1.6214901910624249,0,0,70,0,0,0
207,10.4,-4.5006664177827576,3.967871191941911,-3,-2.4930869973990566,-2.8278521108729207,0,1.7767918833913512,-1.5664527591578223,0,0,70,0,0,0
208,10.45,-4.623079456654736,3.824543938492137,-3,-2.403031828099654,-2.904766491597682,0,1.8251186140794153,-1.509869427500065,0,0,70,0,0,0
209,10.5,-4.740930074254143,3.6774423219178582,-3,-2.310605156507467,-2.9788142184919453,0,1.8716441730446234,-1.4517960370061105,0,0,70,0,0,0
210,10.55,-4.854101966249684,3.5267115137548393,-3,-2.2158981965885483,-3.049922215389155,0,1.9163226451773756,-1.392289899101091,0,0,70,0,0,0
211,10.6,-4.96248344564737,3.372500267112785,-3,-2.119004412678228,-3.1180203072813484,0,1.9591099382197747,-1.3314097391588549,0,0,70,0,0,0
212,10.65,-5.065967553012092,3.2149607698739775,-3,-2.0200194272430947,-3.1830412895734095,0,1.999963826279361,-1.2692156385471136,0,0,70,0,0,0
213,10.7,-5.164452162023663,3.0542484945022266,-3,-1.9190409265131763,-3.2449209944058928,0,2.0388439915009675,-1.2057689753343888,0,0,70,0,0,0
214,10.75,-5.257840080263182,2.8905220446102913,-3,-1.8161685640774077,-3.3035983539809557,0,2.075712063855581,-1.1411323637172617,0,0,70,0,0,0
215,10.8,-5.346039145130207,2.7239429984372814,-3,-1.7115038625375831,-3.3590154608289033,0,2.110531659006923,-1.0753695922277253,0,0,70,0,0,0
216,10.85,-5.428962314796117,2.5546757493904373,-3,-1.6051501133177992,-3.411117624955863,0,2.143268414218401,-1.0085455607816045,0,0,70,0,0,0
217,10.9,-5.506527754103887,2.382887343808684,-3,-1.4972122747282914,-3.4598534278162147,0,2.173890022264977,-0.9407262166301728,0,0,70,0,0,0
218,10.95,-5.578658915329509,2.2087473161080666,-3,-1.387796868384255,-3.5051747730564777,0,2.2023662633165,-0.8719784892781793,0,0,70,0,0,0
219,11.0,-5.6452846137253525,2.0324275214717478,-3,-1.2770118740818708,-3.547036933980612,0,2.228669034761031,-0.8023702244325079,0,0,70,0,0,0
220,11.05,-5.706339097770921,1.8541019662496852,-3,-1.1649666232352804,-3.585398597689867,0,2.2527723789387264,-0.731970117046653,0,0,70,0,0,0
221,11.1,-5.761762114061658,1.6739466362353772,-3,-1.0517716909796815,-3.62022190585362,0,2.2746525087589147,-0.6608476435270962,0,0,70,0,0,0
222,11.15,-5.811498966771787,1.4921393229891262,-3,-0.9375387870470172,-3.651472492070984,0,2.2942878311750836,-0.5890729931684789,0,0,70,0,0,0
223,11.2,-5.855500571632485,1.308859448379254,-3,-0.8223806455219707,-3.6791195157862893,0,2.311658968494609,-0.516716998885251,0,0,70,0,0,0
224,11.25,-5.893723504372132,1.1242878875143474,-3,-0.7064109135870122,-3.703135692724996,0,2.3267487775021998,-0.4438510673081224,0,0,70,0,0,0
225,11.3,-5.926130043570826,0.9386067902413859,-3,-0.5897440393663669,-3.7234973218199734,0,2.3395423663781796,-0.3705471083143495,0,0,70,0,0,0
